,clust,ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?
234,2,238,11449,0,2,1,1,9057,13,0,0,7397,1
235,2,239,182317,0,2,1,1,19489,17,273,1,7397,1
236,8,240,46184,0,1,1,1,3125,12,500,1,7388,0
237,2,241,285116,0,1,1,1,8471,18,500,1,7406,1
238,9,242,30962,0,5,1,1,97683,37,6400,18,7360,1
239,8,243,15525,0,1,1,1,3853,6,0,0,7406,0
240,6,244,163530,0,5,1,1,88987,25,0,0,7406,0
241,2,245,2075,0,2,1,1,5002,14,0,0,7374,1
242,6,246,227881,0,4,1,1,41186,13,0,0,7369,0
243,6,247,118934,0,5,1,1,66222,37,2250,17,7354,0
244,9,248,468175,0,5,1,1,141615,22,0,0,7348,1
245,0,249,12526,0,4,1,1,56076,19,3850,11,7375,1
246,8,250,176090,0,1,1,1,5300,9,2200,6,7344,0
247,2,251,15221,0,1,1,1,4425,9,0,0,7361,1
248,9,252,92875,0,5,1,1,60990,14,0,0,7344,1
249,8,253,88702,0,2,1,1,9620,13,50,1,7406,0
250,8,254,62882,0,1,1,1,1925,8,0,0,7375,0
251,8,255,30015,0,1,1,1,5875,32,0,0,7341,0
252,6,256,87293,0,3,1,1,21584,17,1050,2,7406,0
253,0,257,45225,0,3,1,1,14711,15,0,0,7339,1
254,2,258,96098,0,1,1,1,12500,4,0,0,7339,1
255,6,259,236274,0,5,1,1,61515,12,0,0,7375,0
256,8,260,423540,0,1,1,1,8534,14,2100,9,7375,0
257,2,261,25279,0,2,1,1,14938,26,0,0,7327,1
258,8,262,198137,0,1,1,1,6303,6,500,1,7323,0
259,9,263,402312,0,5,1,1,77122,18,250,3,7375,1
260,8,264,149733,0,1,1,1,605,3,500,1,7323,0
261,8,265,70730,0,1,1,1,1319,12,0,0,7316,0
262,8,266,164613,0,2,1,1,11095,13,0,0,7375,0
263,8,267,47557,0,2,1,1,10267,18,200,3,7345,0
264,2,268,35065,0,1,1,1,5400,5,1400,3,7311,1
265,0,269,105769,0,3,1,1,23097,16,0,0,7345,1
266,8,270,35900,0,1,1,1,0,0,0,0,7304,0
267,8,271,43088,0,1,1,1,4000,1,0,0,7345,0
268,0,272,58703,0,4,1,1,46473,34,950,4,7296,1
269,9,273,70354,0,5,1,1,120907,22,0,0,7290,1
270,0,274,145726,0,3,1,1,19019,15,0,0,7292,1
271,9,275,121639,0,5,1,1,67286,7,0,0,7288,1
272,9,276,70676,0,5,1,1,74993,15,0,0,7288,1
273,8,277,18263,0,1,1,1,2100,4,1000,2,7285,0
274,8,278,51250,0,1,1,1,0,0,0,0,7283,0
275,10,279,1704838,0,1,1,1,17108,32,4823,23,7283,1
276,8,280,12895,0,1,1,1,0,0,0,0,7277,0
277,0,281,120073,0,3,1,1,12423,29,0,0,7276,1
278,8,282,2003,0,1,1,1,980,2,0,0,7274,0
279,9,283,22652,0,5,1,1,57642,14,0,0,7271,1
280,8,284,168515,0,1,1,1,4600,4,0,0,7269,0
281,0,285,44873,0,4,1,1,38740,18,850,2,7267,1
282,8,286,190542,1745,1,1,1,8487,9,0,0,7267,0
283,2,287,156230,0,1,1,1,5300,8,1300,5,7260,1
284,0,288,79211,0,4,1,1,36776,14,0,0,7260,1
285,0,289,98006,0,4,1,1,46349,20,2309,3,7332,1
286,9,290,33982,0,5,1,1,68320,17,0,0,7255,1
287,8,291,62998,0,2,1,1,11326,24,0,0,7253,0
288,9,292,137908,0,5,1,1,57713,19,0,0,7250,1
289,6,293,45586,0,4,1,1,37459,15,0,0,7246,0
290,9,294,568174,0,5,1,1,67121,16,1000,2,7243,1
291,9,295,145993,0,5,1,1,95082,17,500,1,7229,1
292,9,296,294881,0,5,1,1,84800,20,0,0,7279,1
293,8,297,12195,0,1,1,1,3875,17,0,0,7229,0
294,8,298,16622,0,1,1,1,0,0,0,0,7229,0
295,6,299,141813,0,4,1,1,39743,14,0,0,7254,0
296,0,300,58139,500,4,1,1,38408,16,150,1,7227,1
297,6,301,238868,0,3,1,1,20521,16,0,0,7220,0
298,0,302,149286,0,4,1,1,42141,30,2400,13,7222,1
299,8,303,35945,0,1,1,1,0,0,0,0,7220,0
300,2,304,28218,0,1,1,1,750,4,750,4,7232,1
301,8,305,7061,0,1,1,1,7100,12,0,0,7218,0
302,0,306,217846,0,4,1,1,49198,20,0,0,7215,1
303,6,307,364387,0,4,1,1,28200,27,0,0,7213,0
304,6,308,125465,0,3,1,1,14750,9,0,0,7206,0
305,0,309,94222,0,4,1,1,52081,24,0,0,7201,1
306,8,310,123370,0,1,1,1,7478,16,0,0,7197,0
307,2,311,383030,2998,1,1,1,8001,25,3226,15,7326,1
308,8,312,112969,0,2,1,1,7572,7,0,0,7192,0
309,8,313,46430,0,1,1,1,2100,4,500,1,7194,0
310,6,314,179433,0,4,1,1,30476,15,0,0,7187,0
311,0,315,20746,0,4,1,1,37534,17,0,0,7185,1
312,0,316,61455,0,4,1,1,28765,17,0,0,7183,1
313,9,317,714717,0,5,1,1,119162,20,1750,4,7183,1
314,0,318,179559,0,3,1,1,17819,12,1000,2,7173,1
315,2,319,119977,2556,1,1,1,9275,16,1400,4,7226,1
316,8,320,16928,0,1,1,1,1000,1,0,0,7173,0
317,8,321,65316,0,1,1,1,3917,10,0,0,7254,0
318,2,322,766419,0,1,1,1,11398,3,398,1,7162,1
319,2,323,52060,0,1,1,1,6500,3,0,0,7162,1
320,6,324,84700,0,3,1,1,13544,17,0,0,7162,0
321,0,325,205523,0,3,1,1,32404,20,1000,2,7159,1
322,0,326,20457,0,4,1,1,51399,16,0,0,7193,1
323,10,327,278727,0,1,1,1,21666,19,9166,16,7155,1
324,6,328,50325,0,3,1,1,11930,14,0,0,7155,0
325,2,329,455228,0,1,1,1,258,2,258,2,7141,1
326,8,330,73849,0,2,1,1,11793,21,0,0,7250,0
327,9,331,388455,0,5,1,1,114329,26,6078,8,7164,1
328,9,332,138999,0,5,1,1,63738,29,600,4,7153,1
329,8,333,65573,0,1,1,1,3875,23,0,0,7130,0
330,9,334,172288,0,5,1,1,66879,10,0,0,7130,1
331,8,335,47958,0,1,1,1,0,0,0,0,7130,0
332,6,337,133002,0,3,1,1,15672,21,150,1,7117,0
333,2,338,42363,0,1,1,1,0,0,0,0,7120,1
334,0,339,133370,0,4,1,1,44299,18,0,0,7101,1
335,0,340,278457,6727,4,1,1,57313,27,1000,2,7101,1
336,6,341,105166,1374,4,1,1,37663,22,0,0,7120,0
337,8,342,34956,0,1,1,1,0,0,0,0,7172,0
338,8,343,46963,0,1,1,1,1500,5,0,0,7117,0
339,6,344,55788,0,3,1,1,24831,12,0,0,7314,0
340,0,345,174910,0,4,1,1,63960,20,200,1,7110,1
341,2,346,13812,0,2,1,1,15149,39,0,0,7110,1
342,8,347,38718,0,1,1,1,0,0,0,0,7314,0
343,8,348,112501,0,1,1,2,19140,11,0,0,7101,0
344,8,349,54005,0,1,1,1,1500,5,0,0,7099,0
345,0,350,66863,0,4,1,1,36532,9,0,0,7099,1
346,6,351,93045,0,3,1,1,17636,15,0,0,7092,0
347,6,352,197328,0,5,1,1,60447,12,0,0,7092,0
348,6,353,151301,0,4,1,1,37772,14,0,0,7092,0
349,2,354,87938,0,1,1,1,11268,2,0,0,7085,1
350,8,355,15283,0,1,1,1,1250,3,0,0,7132,0
351,6,356,105423,0,3,1,1,20802,14,0,0,7078,0
352,8,357,312512,0,1,1,1,100,1,100,1,7078,0
353,2,358,13680,0,1,1,1,0,0,0,0,7073,1
354,6,359,41279,0,3,1,1,14462,20,1650,6,7064,0
355,8,360,25313,0,2,1,1,7491,13,0,0,7064,0
356,8,361,148691,0,1,1,1,3000,3,1000,2,7064,0
357,6,362,224081,0,4,1,1,40108,15,150,2,7059,0
358,8,363,51088,0,1,1,1,0,0,0,0,7057,0
359,8,364,95305,0,1,1,1,3189,13,0,0,7054,0
360,2,365,22080,0,1,1,1,12200,47,1950,9,7050,1
361,8,366,11660,0,1,1,1,140,1,0,0,7050,0
362,0,367,222227,0,4,1,1,38127,14,500,1,7047,1
363,8,368,16200,0,1,1,1,160,1,0,0,7043,0
364,8,369,38227,0,2,1,1,8612,13,0,0,7036,0
365,2,370,80214,0,1,1,1,500,1,500,1,7029,1
366,2,371,53985,0,1,1,1,1000,1,0,0,7029,1
367,8,372,14414,0,1,1,1,0,0,0,0,7024,0
368,8,373,44457,0,1,1,1,225,3,0,0,7026,0
369,9,374,161813,0,5,1,1,126941,20,0,0,7026,1
370,2,375,138020,0,1,1,1,6568,15,0,0,7024,1
371,6,376,107707,0,3,1,1,19407,25,2211,12,7024,0
372,9,377,95656,0,5,1,1,62666,27,0,0,7019,1
373,8,378,149678,0,1,1,1,0,0,0,0,7022,0
374,2,379,15113,0,2,1,1,10574,19,0,0,7017,1
375,2,380,231,0,1,1,1,29900,24,5300,15,7015,1
376,8,381,22380,0,1,1,1,300,2,200,1,7010,0
377,0,382,146263,0,3,1,1,20853,21,350,1,7001,1
378,8,383,24598,0,1,1,1,0,0,0,0,7040,0
379,6,384,76150,0,4,1,1,36907,17,0,0,6998,0
380,9,385,377252,0,5,1,1,230629,30,6393,13,6996,1
381,13,386,167670,0,1,3,1,15907,13,0,0,6994,0
382,6,387,86853,0,4,1,1,42293,21,500,1,6980,0
383,6,388,479989,0,4,1,1,66516,26,1600,6,6980,0
384,9,389,28193,0,5,1,4,103456,32,0,0,6980,1
385,6,390,67086,0,3,1,1,18157,16,0,0,6974,0
386,8,391,35969,0,2,1,1,11665,21,0,0,6977,0
387,0,393,53790,0,4,1,1,28717,19,0,0,8296,1
388,6,394,198859,0,3,1,1,17855,14,500,1,8296,0
389,8,395,91939,0,1,1,1,1244,8,0,0,8296,0
390,8,396,88449,0,2,1,1,11402,18,1450,5,8296,0
391,0,397,54842,0,3,1,1,20792,15,0,0,8296,1
392,2,398,11189,0,1,2,1,9044,20,0,0,8296,1
393,8,399,16999,0,1,1,1,140,1,0,0,8296,0
394,8,400,114713,0,1,1,1,7142,18,0,0,8296,0
395,8,401,1612,0,1,1,1,955,9,0,0,8296,0
396,8,402,97763,0,1,1,1,2000,9,0,0,8296,0
397,8,403,15129,0,1,1,1,0,0,0,0,8296,0
398,8,404,15669,0,1,1,1,1205,4,0,0,8296,0
399,8,405,26720,0,1,1,1,913,3,0,0,8296,0
400,8,406,205292,0,2,1,1,5471,13,0,0,8296,0
401,8,407,56635,0,1,1,1,1024,8,359,2,8296,0
402,8,408,127297,0,2,1,1,8510,12,0,0,8296,0
403,8,409,8927,0,1,1,1,0,0,0,0,8296,0
404,9,410,507506,1952,5,1,1,102279,32,4485,13,8296,1
405,9,411,145723,0,5,1,1,59858,16,0,0,8296,1
406,8,412,6458,0,1,1,1,0,0,0,0,8296,0
407,2,413,267640,0,1,1,1,6000,3,0,0,8296,1
408,8,414,5581,0,1,1,1,0,0,0,0,8296,0
409,8,415,10732,0,1,1,1,1296,6,0,0,8296,0
410,9,416,620498,0,5,1,1,25395,53,1750,14,8296,1
411,6,417,68963,0,4,1,1,37723,15,0,0,8296,0
412,0,418,109640,0,4,1,1,66983,38,5500,17,8296,1
413,9,419,225802,0,5,1,1,74340,16,200,2,8296,1
414,8,420,58452,0,1,1,1,0,0,0,0,8296,0
415,2,421,109087,0,2,1,1,10462,16,0,0,8296,1
416,0,422,68286,0,3,1,1,22831,13,0,0,8296,1
417,2,423,68464,0,1,1,1,240,3,0,0,8296,1
418,6,424,131960,2000,3,1,1,16081,8,0,0,8296,0
419,8,425,199956,1178,1,1,1,0,0,0,0,8296,0
420,10,426,529886,7210,1,1,1,23866,26,7741,15,8296,1
421,8,427,23529,0,1,1,1,500,1,0,0,8296,0
422,6,428,190295,0,4,1,1,3501,15,0,0,8296,0
423,9,429,21083,0,5,1,1,129330,16,1000,2,8296,1
424,9,430,117860,0,5,1,1,62758,15,0,0,8296,1
425,0,431,118844,0,4,1,1,28731,17,400,2,8289,1
426,8,432,60493,0,1,1,1,9000,1,0,0,8289,0
427,9,433,491987,0,5,1,1,68007,23,700,2,8289,1
428,8,434,87692,0,1,1,1,2310,6,500,1,8289,0
429,6,435,78028,0,4,1,1,36269,24,0,0,8289,0
430,2,436,251286,0,1,1,1,0,0,0,0,8289,1
431,2,437,17575,0,1,1,1,0,0,0,0,8289,1
432,2,438,50431,0,1,1,1,1000,1,0,0,8289,1
433,6,439,153597,0,5,1,1,56567,18,0,0,8289,0
434,2,440,74579,0,1,1,1,4600,11,600,8,8289,1
435,8,441,2494,0,1,1,1,0,0,0,0,8289,0
436,6,442,96031,0,4,1,1,46588,21,0,0,8289,0
437,9,443,353678,0,4,1,1,141230,28,1450,5,8289,1
438,0,444,50052,0,4,1,1,49383,13,0,0,8289,1
439,8,445,13381,0,1,1,1,1000,8,0,0,8289,0
440,8,446,25123,0,1,1,1,2030,6,0,0,8289,0
441,0,447,132555,0,3,1,1,24775,31,350,1,8289,1
442,8,448,14528,0,1,1,1,6000,7,3000,6,8289,0
443,8,449,24038,0,2,1,1,6290,14,0,0,8289,0
444,0,450,192104,0,3,1,1,39010,53,1750,8,8289,1
